Cluster,Name
0,Student 74
0,Student 49
0,Student 48
0,Student 28
1,Student 47
1,Student 11
1,Student 10
1,Student 99
2,Student 35
2,Student 34
2,Student 92
2,Student 51
3,Student 69
3,Student 32
3,Student 16
3,Student 80
4,Student 93
4,Student 82
4,Student 43
4,Student 68
5,Student 23
5,Student 9
5,Student 20
5,Student 13
6,Student 17
6,Student 88
6,Student 62
6,Student 1
7,Student 56
7,Student 50
7,Student 2
7,Student 24
8,Student 42
8,Student 78
8,Student 97
8,Student 55
9,Student 37
9,Student 52
9,Student 85
9,Student 25
10,Student 91
10,Student 100
10,Student 12
10,Student 61
11,Student 26
11,Student 45
11,Student 73
11,Student 58
12,Student 21
12,Student 18
12,Student 77
12,Student 79
13,Student 7
13,Student 19
13,Student 22
13,Student 41
14,Student 94
14,Student 70
14,Student 29
14,Student 3
15,Student 64
15,Student 63
15,Student 5
15,Student 4
16,Student 59
16,Student 6
16,Student 31
16,Student 81
17,Student 72
17,Student 36
17,Student 8
17,Student 65
18,Student 66
18,Student 27
18,Student 86
18,Student 60
19,Student 71
19,Student 39
19,Student 96
19,Student 87
20,Student 83
20,Student 30
20,Student 90
20,Student 57
21,Student 95
21,Student 40
21,Student 67
21,Student 54
22,Student 14
22,Student 33
22,Student 84
22,Student 89
23,Student 44
23,Student 15
23,Student 53
23,Student 46
24,Student 75
24,Student 38
24,Student 98
24,Student 76
