Cluster,Name
0,Student 67
0,Student 100
0,Student 77
0,Student 68
1,Student 2
1,Student 35
1,Student 69
1,Student 74
2,Student 3
2,Student 78
2,Student 36
2,Student 37
3,Student 91
3,Student 4
3,Student 70
3,Student 38
4,Student 6
4,Student 72
4,Student 5
4,Student 31
5,Student 11
5,Student 39
5,Student 7
5,Student 73
6,Student 8
6,Student 32
6,Student 41
6,Student 23
7,Student 9
7,Student 42
7,Student 75
7,Student 54
8,Student 43
8,Student 10
8,Student 76
8,Student 44
9,Student 40
9,Student 12
9,Student 79
9,Student 80
10,Student 14
10,Student 47
10,Student 15
10,Student 48
11,Student 16
11,Student 49
11,Student 19
11,Student 82
12,Student 1
12,Student 17
12,Student 83
12,Student 50
13,Student 18
13,Student 45
13,Student 51
13,Student 52
14,Student 85
14,Student 20
14,Student 86
14,Student 53
15,Student 81
15,Student 87
15,Student 21
15,Student 55
16,Student 22
16,Student 34
16,Student 88
16,Student 84
17,Student 89
17,Student 56
17,Student 90
17,Student 24
18,Student 57
18,Student 58
18,Student 25
18,Student 59
19,Student 92
19,Student 26
19,Student 27
19,Student 46
20,Student 93
20,Student 60
20,Student 28
20,Student 94
21,Student 61
21,Student 71
21,Student 29
21,Student 62
22,Student 95
22,Student 30
22,Student 96
22,Student 63
23,Student 64
23,Student 97
23,Student 65
23,Student 98
24,Student 66
24,Student 33
24,Student 13
24,Student 99
